Outlet_ID,weekly_sale_for_1,weekly_sale_for_2,weekly_sale_for_3,weekly_sale_for_4,weekly_sale_for_5,weekly_sale_for_6,weekly_sale_for_7,weekly_sale_for_8,weekly_sale_for_9,weekly_sale_for_10,weekly_sale_for_11,weekly_sale_for_12,weekly_sold_volume_for_1,weekly_sold_volume_for_2,weekly_sold_volume_for_3,weekly_sold_volume_for_4,weekly_sold_volume_for_5,weekly_sold_volume_for_6,weekly_sold_volume_for_7,weekly_sold_volume_for_8,weekly_sold_volume_for_9,weekly_sold_volume_for_10,weekly_sold_volume_for_11,weekly_sold_volume_for_12,weekly_earning_for_1,weekly_earning_for_2,weekly_earning_for_3,weekly_earning_for_4,weekly_earning_for_5,weekly_earning_for_6,weekly_earning_for_7,weekly_earning_for_8,weekly_earning_for_9,weekly_earning_for_10,weekly_earning_for_11,weekly_earning_for_12,Butter Pecan Small Stick_units_sold,Chocolate Petite Bar_units_sold,Mint Bite-size Pop_units_sold,Strawberry Tiny Cup_units_sold,Vanilla Mini Cone_units_sold,Chocolate Fudge Big Scoop_units_sold,Cookies and Cream Mega Tub_units_sold,Mint Chocolate Chip Family Pack_units_sold,Moose Tracks Jumbo Cup_units_sold,Rocky Road Mega Tub_units_sold,Butter Pecan Small Stick_volume_sold,Chocolate Petite Bar_volume_sold,Mint Bite-size Pop_volume_sold,Strawberry Tiny Cup_volume_sold,Vanilla Mini Cone_volume_sold,Chocolate Fudge Big Scoop_volume_sold,Cookies and Cream Mega Tub_volume_sold,Mint Chocolate Chip Family Pack_volume_sold,Moose Tracks Jumbo Cup_volume_sold,Rocky Road Mega Tub_volume_sold,Butter Pecan Small Stick_earning,Chocolate Petite Bar_earning,Mint Bite-size Pop_earning,Strawberry Tiny Cup_earning,Vanilla Mini Cone_earning,Chocolate Fudge Big Scoop_earning,Cookies and Cream Mega Tub_earning,Mint Chocolate Chip Family Pack_earning,Moose Tracks Jumbo Cup_earning,Rocky Road Mega Tub_earning,labels
ID9528,2337.0,2993.0,1987.0,1829.0,1397.0,3011.0,3277.0,1870.0,1812.0,2732.0,3229.0,2695.0,467.40000000000003,598.6,397.40000000000003,365.80000000000007,279.4,602.2,655.4000000000001,374.0,362.4,546.4,645.8000000000001,539.0,230530.0,304320.0,192430.0,183910.0,138470.0,302860.0,329320.0,175890.0,186900.0,273490.0,320780.0,265330.0,4759.0,7542.0,5504.0,6275.0,5089.0,0.0,0.0,0.0,0.0,0.0,951.8000000000001,1508.4,1100.8000000000002,1255.0,1017.8000000000001,0.0,0.0,0.0,0.0,0.0,475900.0,678780.0,550400.0,690250.0,508900.0,0.0,0.0,0.0,0.0,0.0,2
ID2152,2086.0,2993.0,3519.0,3193.0,3889.0,3058.0,2286.0,3720.0,1548.0,1592.0,3191.0,4124.0,417.20000000000005,598.6,703.8000000000001,638.6,777.8000000000001,611.6,457.20000000000005,744.0,309.6,318.4,638.2,824.8000000000001,214190.0,292250.0,351380.0,326960.0,388490.0,313110.0,222440.0,368690.0,156700.0,159200.0,312310.0,410780.0,8757.0,7009.0,6887.0,6669.0,5877.0,0.0,0.0,0.0,0.0,0.0,1751.4,1401.8000000000002,1377.4,1333.8000000000002,1175.4,0.0,0.0,0.0,0.0,0.0,875700.0,630810.0,688700.0,733590.0,587700.0,0.0,0.0,0.0,0.0,0.0,2
ID3656,2966.0,3060.0,3606.0,3335.0,4042.0,2878.0,2542.0,3392.0,3634.0,3455.0,2867.0,3513.0,593.2,612.0,721.2,667.0,808.4000000000001,575.6,508.4000000000001,678.4000000000001,726.8,691.0,573.4000000000001,702.6,291270.0,303460.0,358160.0,338210.0,400730.0,293990.0,253820.0,339490.0,368880.0,341910.0,293220.0,343980.0,7964.0,7160.0,8964.0,6972.0,8230.0,0.0,0.0,0.0,0.0,0.0,1592.8,1432.0,1792.8000000000002,1394.4,1646.0,0.0,0.0,0.0,0.0,0.0,796400.0,644400.0,896400.0,766920.0,823000.0,0.0,0.0,0.0,0.0,0.0,2
ID4395,2744.0,2042.0,2998.0,4449.0,2431.0,2772.0,3067.0,2456.0,2306.0,2690.0,2790.0,2523.0,548.8000000000001,408.40000000000003,599.6,889.8000000000001,486.20000000000005,554.4000000000001,613.4000000000001,491.20000000000005,461.20000000000005,538.0,558.0,504.6,274020.0,213970.0,294690.0,445130.0,237990.0,269360.0,311140.0,247140.0,225710.0,262830.0,274890.0,251530.0,6431.0,7433.0,5931.0,5593.0,7880.0,0.0,0.0,0.0,0.0,0.0,1286.2,1486.6000000000001,1186.2,1118.6,1576.0,0.0,0.0,0.0,0.0,0.0,643100.0,668970.0,593100.0,615230.0,788000.0,0.0,0.0,0.0,0.0,0.0,2
ID7405,3361.0,3120.0,1867.0,3921.0,3041.0,1188.0,2585.0,4459.0,2274.0,2249.0,3077.0,2688.0,672.2,624.0,373.40000000000003,784.2,608.2,237.60000000000002,517.0,891.8000000000001,454.8,449.8,615.4,537.6,334260.0,311520.0,179340.0,392310.0,311210.0,120760.0,255430.0,448650.0,224970.0,224920.0,314190.0,263560.0,7448.0,6489.0,6846.0,6301.0,6746.0,0.0,0.0,0.0,0.0,0.0,1489.6,1297.8000000000002,1369.2,1260.2,1349.2,0.0,0.0,0.0,0.0,0.0,744800.0,584010.0,684600.0,693110.0,674600.0,0.0,0.0,0.0,0.0,0.0,2
ID9945,2496.0,2836.0,2594.0,3213.0,4059.0,5008.0,3317.0,2672.0,2629.0,3846.0,3475.0,2652.0,499.20000000000005,567.2,518.8000000000001,642.6,811.8000000000001,1001.6,663.4,534.4,525.8,769.2,695.0,530.4000000000001,258930.0,275930.0,254520.0,329970.0,413650.0,500540.0,331750.0,267180.0,268730.0,385420.0,351210.0,264160.0,8508.0,5540.0,7272.0,7769.0,9708.0,0.0,0.0,0.0,0.0,0.0,1701.6000000000001,1108.0,1454.4,1553.8,1941.6000000000001,0.0,0.0,0.0,0.0,0.0,850800.0,498600.0,727200.0,854590.0,970800.0,0.0,0.0,0.0,0.0,0.0,2
ID6950,4225.0,2801.0,3724.0,2559.0,3132.0,3417.0,3027.0,2930.0,3197.0,3137.0,3207.0,4463.0,845.0,560.2,744.8000000000001,511.8,626.4000000000001,683.4,605.4,586.0,639.4000000000001,627.4000000000001,641.4000000000001,892.6000000000001,420280.0,282150.0,373700.0,252480.0,306230.0,336700.0,299850.0,285150.0,317320.0,306010.0,321710.0,439370.0,7705.0,9285.0,8186.0,5190.0,9453.0,0.0,0.0,0.0,0.0,0.0,1541.0,1857.0,1637.2,1038.0,1890.6000000000001,0.0,0.0,0.0,0.0,0.0,770500.0,835650.0,818600.0,570900.0,945300.0,0.0,0.0,0.0,0.0,0.0,2
ID5199,2331.0,3909.0,2286.0,3307.0,3731.0,2888.0,1820.0,2984.0,3426.0,2553.0,1631.0,1888.0,466.20000000000005,781.8,457.2,661.4,746.2,577.6,364.0,596.8000000000001,685.2,510.6,326.20000000000005,377.6,237240.0,382280.0,230430.0,329800.0,367560.0,293010.0,185370.0,292820.0,348920.0,249640.0,151170.0,179790.0,6886.0,8480.0,6411.0,5743.0,5234.0,0.0,0.0,0.0,0.0,0.0,1377.2,1696.0,1282.2,1148.6000000000001,1046.8,0.0,0.0,0.0,0.0,0.0,688600.0,763200.0,641100.0,631730.0,523400.0,0.0,0.0,0.0,0.0,0.0,2
ID5556,4255.0,2924.0,2757.0,3234.0,3586.0,3039.0,1695.0,2346.0,3177.0,4133.0,3474.0,3020.0,851.0,584.8,551.4000000000001,646.8000000000001,717.2,607.8,339.0,469.20000000000005,635.4,826.6,694.8000000000001,604.0,421040.0,294820.0,276610.0,329370.0,358670.0,299390.0,170490.0,233220.0,314690.0,413010.0,354110.0,305670.0,6225.0,6570.0,7086.0,7279.0,10480.0,0.0,0.0,0.0,0.0,0.0,1245.0,1314.0,1417.2,1455.8000000000002,2096.0,0.0,0.0,0.0,0.0,0.0,622500.0,591300.0,708600.0,800690.0,1048000.0,0.0,0.0,0.0,0.0,0.0,2
ID8920,3866.0,2905.0,2447.0,3953.0,2988.0,3659.0,3829.0,4130.0,3139.0,3062.0,2008.0,2078.0,773.2,581.0,489.4,790.6,597.6,731.8000000000001,765.8000000000001,826.0,627.8000000000001,612.4000000000001,401.6,415.6,390870.0,288910.0,252250.0,386250.0,295520.0,361920.0,384910.0,412650.0,311730.0,317470.0,206030.0,211360.0,6571.0,6428.0,9036.0,7775.0,8254.0,0.0,0.0,0.0,0.0,0.0,1314.2,1285.6000000000001,1807.2,1555.0,1650.8,0.0,0.0,0.0,0.0,0.0,657100.0,578520.0,903600.0,855250.0,825400.0,0.0,0.0,0.0,0.0,0.0,2
ID6352,2771.0,3970.0,3690.0,2557.0,3264.0,1420.0,2470.0,2783.0,3401.0,2295.0,3739.0,1593.0,554.2,794.0,738.0,511.40000000000003,652.8,284.0,494.0,556.6,680.2,459.0,747.8000000000001,318.6,279180.0,403900.0,366700.0,253470.0,326840.0,140560.0,253010.0,279040.0,338940.0,239750.0,374480.0,159910.0,6809.0,5567.0,5758.0,7615.0,8204.0,0.0,0.0,0.0,0.0,0.0,1361.8000000000002,1113.4,1151.6000000000001,1523.0,1640.8000000000002,0.0,0.0,0.0,0.0,0.0,680900.0,501030.0,575800.0,837650.0,820400.0,0.0,0.0,0.0,0.0,0.0,2
ID2508,2485.0,2379.0,1956.0,4043.0,1944.0,2369.0,1753.0,2957.0,2919.0,3257.0,3816.0,3018.0,497.00000000000006,475.8,391.20000000000005,808.6,388.8,473.80000000000007,350.6,591.4,583.8000000000001,651.4000000000001,763.2,603.6,241250.0,235310.0,193620.0,403570.0,194670.0,234140.0,176980.0,301530.0,286960.0,326000.0,375420.0,306250.0,5635.0,6754.0,8203.0,5364.0,6940.0,0.0,0.0,0.0,0.0,0.0,1127.0,1350.8000000000002,1640.6000000000001,1072.8000000000002,1388.0,0.0,0.0,0.0,0.0,0.0,563500.0,607860.0,820300.0,590040.0,694000.0,0.0,0.0,0.0,0.0,0.0,2
ID5561,2336.0,2512.0,2873.0,1299.0,1749.0,1682.0,3237.0,3361.0,2993.0,3749.0,2810.0,1338.0,467.20000000000005,502.40000000000003,574.6,259.8,349.8,336.40000000000003,647.4000000000001,672.2,598.6,749.8000000000001,562.0,267.6,227200.0,251820.0,296200.0,128070.0,176340.0,169290.0,328100.0,328610.0,296680.0,381600.0,278790.0,129730.0,5759.0,5089.0,7499.0,4942.0,6650.0,0.0,0.0,0.0,0.0,0.0,1151.8000000000002,1017.8000000000001,1499.8000000000002,988.4000000000001,1330.0,0.0,0.0,0.0,0.0,0.0,575900.0,458010.0,749900.0,543620.0,665000.0,0.0,0.0,0.0,0.0,0.0,2
ID6952,2708.0,1640.0,1290.0,2234.0,2476.0,1803.0,2611.0,3365.0,3106.0,2403.0,3568.0,3849.0,541.6,328.0,258.0,446.80000000000007,495.20000000000005,360.6,522.2,673.0,621.2,480.6,713.6,769.8000000000001,267420.0,167100.0,128900.0,225000.0,244100.0,182890.0,258040.0,342540.0,306390.0,242190.0,347950.0,395740.0,6169.0,5165.0,8316.0,5461.0,5942.0,0.0,0.0,0.0,0.0,0.0,1233.8000000000002,1033.0,1663.2,1092.2,1188.4,0.0,0.0,0.0,0.0,0.0,616900.0,464850.0,831600.0,600710.0,594200.0,0.0,0.0,0.0,0.0,0.0,2
ID5295,3821.0,4437.0,1694.0,2366.0,2826.0,2064.0,3175.0,3574.0,2800.0,3100.0,2146.0,2857.0,764.2,887.4000000000001,338.8,473.20000000000005,565.2,412.8,635.0,714.8000000000001,560.0,620.0,429.20000000000005,571.4000000000001,381040.0,446010.0,169590.0,234620.0,272010.0,206400.0,313070.0,355600.0,287500.0,311410.0,211970.0,282360.0,8647.0,7180.0,6723.0,5738.0,6572.0,0.0,0.0,0.0,0.0,0.0,1729.4,1436.0,1344.6000000000001,1147.6000000000001,1314.4,0.0,0.0,0.0,0.0,0.0,864700.0,646200.0,672300.0,631180.0,657200.0,0.0,0.0,0.0,0.0,0.0,2
ID8631,3452.0,2598.0,3038.0,3485.0,3926.0,3225.0,3906.0,3606.0,2139.0,3166.0,2720.0,2952.0,950.4,730.0,842.0,869.8000000000001,1088.4,877.0,1033.2,946.0,651.0,882.0,821.6,804.0,668020.0,514610.0,603730.0,559310.0,777310.0,620710.0,708650.0,641250.0,499180.0,628890.0,626810.0,564900.0,9174.0,5562.0,7659.0,5254.0,6998.0,759.0,658.0,667.0,681.0,801.0,1834.8,1112.4,1531.8000000000002,1050.8000000000002,1399.6000000000001,759.0,658.0,667.0,681.0,801.0,917400.0,500580.0,765900.0,577940.0,699800.0,910800.0,723800.0,767050.0,749100.0,801000.0,4
ID8493,2575.0,2319.0,3589.0,3373.0,4091.0,4633.0,2820.0,4669.0,2968.0,1657.0,2422.0,3593.0,515.0,463.80000000000007,717.8000000000001,674.6,818.2,926.6,564.0,933.8000000000001,593.6,331.40000000000003,484.40000000000003,718.6,255140.0,224430.0,361170.0,334040.0,400610.0,465930.0,280610.0,463450.0,288660.0,155790.0,244040.0,356710.0,7977.0,9960.0,9084.0,5928.0,5760.0,0.0,0.0,0.0,0.0,0.0,1595.4,1992.0,1816.8000000000002,1185.6,1152.0000000000002,0.0,0.0,0.0,0.0,0.0,797700.0,896400.0,908400.0,652080.0,576000.0,0.0,0.0,0.0,0.0,0.0,2
ID6166,1832.0,2073.0,1835.0,2604.0,3830.0,2054.0,1803.0,4272.0,3511.0,2890.0,3100.0,3060.0,366.40000000000003,414.6,367.0,520.8,766.0,410.8,360.6,854.4000000000001,702.2,578.0,620.0,612.0,179440.0,210400.0,190410.0,264430.0,387820.0,208220.0,176210.0,423210.0,351950.0,281980.0,300130.0,303140.0,6169.0,7549.0,6665.0,6643.0,5838.0,0.0,0.0,0.0,0.0,0.0,1233.8000000000002,1509.8000000000002,1333.0,1328.6000000000001,1167.6000000000001,0.0,0.0,0.0,0.0,0.0,616900.0,679410.0,666500.0,730730.0,583800.0,0.0,0.0,0.0,0.0,0.0,2
ID2979,3842.0,1747.0,3033.0,2945.0,2093.0,2910.0,3066.0,2502.0,3869.0,2545.0,2121.0,2046.0,768.4000000000001,349.40000000000003,606.6,589.0,418.6,582.0,613.2,500.40000000000003,773.8000000000001,509.0,424.20000000000005,409.2,390320.0,174600.0,311610.0,284840.0,206190.0,288240.0,315160.0,256050.0,386940.0,255830.0,204950.0,195350.0,6074.0,7222.0,8575.0,7040.0,3808.0,0.0,0.0,0.0,0.0,0.0,1214.8000000000002,1444.4,1715.0000000000002,1408.0,761.6,0.0,0.0,0.0,0.0,0.0,607400.0,649980.0,857500.0,774400.0,380800.0,0.0,0.0,0.0,0.0,0.0,2
ID9941,3455.0,3625.0,4217.0,2738.0,2554.0,1663.0,2983.0,3311.0,2501.0,4453.0,3346.0,3331.0,691.0,725.0,843.4000000000001,547.6,510.80000000000007,332.6,596.6,662.2,500.20000000000005,890.6,669.2,666.2,349050.0,370050.0,423670.0,267900.0,262740.0,170730.0,301160.0,337050.0,253420.0,445920.0,328070.0,333530.0,5443.0,6893.0,6970.0,9452.0,9419.0,0.0,0.0,0.0,0.0,0.0,1088.6000000000001,1378.6000000000001,1394.0,1890.4,1883.8000000000002,0.0,0.0,0.0,0.0,0.0,544300.0,620370.0,697000.0,1039720.0,941900.0,0.0,0.0,0.0,0.0,0.0,2
ID1110,3114.0,3344.0,2864.0,3313.0,2935.0,1473.0,2763.0,2972.0,2272.0,3035.0,1828.0,3084.0,622.8000000000001,668.8,572.8000000000001,662.6,587.0,294.6,552.6,594.4000000000001,454.40000000000003,607.0,365.6,616.8000000000001,319070.0,330040.0,290260.0,328610.0,300060.0,148260.0,280120.0,301030.0,226620.0,298100.0,183700.0,314190.0,6523.0,5032.0,7667.0,7068.0,6707.0,0.0,0.0,0.0,0.0,0.0,1304.6,1006.4000000000001,1533.4,1413.6000000000001,1341.4,0.0,0.0,0.0,0.0,0.0,652300.0,452880.0,766700.0,777480.0,670700.0,0.0,0.0,0.0,0.0,0.0,2
ID7864,1991.0,2247.0,2956.0,2345.0,2412.0,3043.0,3512.0,2946.0,3629.0,3313.0,2344.0,3772.0,398.20000000000005,449.40000000000003,591.2,469.00000000000006,482.40000000000003,608.6,702.4000000000001,589.2,725.8000000000001,662.6,468.80000000000007,754.4000000000001,202690.0,224810.0,293820.0,226700.0,245620.0,302350.0,353770.0,301590.0,368900.0,330710.0,242680.0,371650.0,7842.0,6679.0,5504.0,8108.0,6377.0,0.0,0.0,0.0,0.0,0.0,1568.4,1335.8000000000002,1100.8,1621.6000000000001,1275.4,0.0,0.0,0.0,0.0,0.0,784200.0,601110.0,550400.0,891880.0,637700.0,0.0,0.0,0.0,0.0,0.0,2
ID1734,2208.0,2581.0,3350.0,2764.0,2751.0,1054.0,3361.0,1084.0,3094.0,2518.0,3604.0,4215.0,441.6,516.2,670.0,552.8000000000001,550.2,210.8,672.2,216.8,618.8000000000001,503.6,720.8000000000001,843.0,216430.0,257190.0,333040.0,280960.0,267080.0,105400.0,329330.0,109230.0,308220.0,253270.0,358380.0,420480.0,8202.0,7262.0,4996.0,5323.0,6801.0,0.0,0.0,0.0,0.0,0.0,1640.4,1452.4,999.2,1064.6,1360.2,0.0,0.0,0.0,0.0,0.0,820200.0,653580.0,499600.0,585530.0,680100.0,0.0,0.0,0.0,0.0,0.0,2
ID8228,2978.0,3453.0,2802.0,2982.0,3847.0,3360.0,2636.0,4715.0,3694.0,2547.0,2487.0,1802.0,595.6,690.6,560.4,596.4000000000001,769.4000000000001,672.0,527.2,943.0,738.8000000000001,509.4,497.40000000000003,360.40000000000003,301720.0,356580.0,272270.0,303370.0,389000.0,330320.0,273390.0,473040.0,369530.0,252870.0,246970.0,183920.0,6756.0,7417.0,7982.0,9685.0,5463.0,0.0,0.0,0.0,0.0,0.0,1351.2,1483.4,1596.4,1937.0000000000002,1092.6000000000001,0.0,0.0,0.0,0.0,0.0,675600.0,667530.0,798200.0,1065350.0,546300.0,0.0,0.0,0.0,0.0,0.0,2
ID3807,3202.0,1708.0,2729.0,4125.0,2678.0,2242.0,2178.0,2710.0,3997.0,2238.0,2960.0,3305.0,640.4000000000001,341.6,545.8000000000001,825.0,535.6,448.40000000000003,435.6,542.0,799.4000000000001,447.6,592.0,661.0000000000001,318690.0,168350.0,281190.0,417710.0,270300.0,215120.0,215510.0,272190.0,399660.0,215710.0,305790.0,323160.0,4586.0,6937.0,9929.0,6555.0,6065.0,0.0,0.0,0.0,0.0,0.0,917.2,1387.4,1985.8000000000002,1311.0,1213.0,0.0,0.0,0.0,0.0,0.0,458600.0,624330.0,992900.0,721050.0,606500.0,0.0,0.0,0.0,0.0,0.0,2
